Indicator,Geographical area,Dataset source,Date of data,Release date,Organisation,Source URL
Proportion of population aged 65 and over,England and Wales,Mid-Year Population Estimates - Lower layer Super Output Area population estimates,2019,9th September 2020,Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimates
Proportion of population aged 75 and over,England and Wales,Mid-Year Population Estimates - Lower layer Super Output Area population estimates,2019,9th September 2020,Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimates
Proportion of homes unable to receive at least 10MBit/s,England and Wales,Connected Nations update - Summer 2020 - Fixed output area data,May-20,10th September 2020,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-summer-2020
Proportion of premises unable to receive at least 30MBit/s,England and Wales,Connected Nations update - Summer 2020 - Fixed output area data,May-20,10th September 2020,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-summer-2020
Average download speed,England and Wales,Connected Nations update - Summer 2019 - Fixed output area data,May-19,17th September 2019,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-summer-2019
Unemployment rate,England and Wales,Claimant count,Jan-21,15th February 2021,DWP,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=162
Index of Multiple Deprivation score,England,English Indices of Deprivation 2019,Various: 2011 - 2018,26th September 2019,MHCLG,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019
Index of Multiple Deprivation score,Wales,Welsh Indices of Deprivation 2019,2015-16,27-Nov-19,Welsh Government,https://gov.wales/welsh-index-multiple-deprivation-full-index-update-ranks-2019
Percentage of 16+ population with no qualifications,England and Wales,Census 2011,Mar-11,2011,ONS,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=623
"Numbers of Guaranteed Pension Credit claimants per 1,000 residents aged 65+",England and Wales,Pension Credit claimants,Aug-20,Feb-21,DWP,https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml
