Indicator name,Geographic coverage,Dataset name,Data producer,URL link,Data released,Data covered,Data accessed,Notes
Proportion of population aged 65 or over,England,Census 2021 - RM121,Office for National Statistics,https://www.nomisweb.co.uk/datasets/c2021rm121,23rd January 2023,21st March 2021,14th February 2024,"The data is taken from a table that includes unrounded 5 year age bands by LSOA. There is some calculation involved, particularly in summing up multiple year age bands, and identifying the proportion of the total population aged 65+."
Proportion of population aged 65 or over,Wales,Census 2021 - RM121,Office for National Statistics,https://www.nomisweb.co.uk/datasets/c2021rm121,23rd January 2023,21st March 2021,14th February 2024,"The data is taken from a table that includes unrounded 5 year age bands by LSOA. There is some calculation involved, particularly in summing up multiple year age bands, and identifying the proportion of the total population aged 65+."
Proportion of population aged 75 or over,England,Census 2021 - RM121,Office for National Statistics,https://www.nomisweb.co.uk/datasets/c2021rm121,23rd January 2023,21st March 2021,14th February 2024,"The data is taken from a table that includes unrounded 5 year age bands by LSOA. There is some calculation involved, particularly in summing up multiple year age bands, and identifying the proportion of the total population aged 75+."
Proportion of population aged 75 or over,Wales,Census 2021 - RM121,Office for National Statistics,https://www.nomisweb.co.uk/datasets/c2021rm121,23rd January 2023,21st March 2021,14th February 2024,"The data is taken from a table that includes unrounded 5 year age bands by LSOA. There is some calculation involved, particularly in summing up multiple year age bands, and identifying the proportion of the total population aged 75+."
Proportion of population in approximated social grade DE,England,Census 2021 - SG002EW,Office for National Statistics,https://www.nomisweb.co.uk/datasets/c2021sg002,17th August 2023,21st March 2021,14th February 2024,"This data is taken from a table showing approximated social grades. The proportion is calculated by dividing the numbers in social grade DE by the total population."
Proportion of population in approximated social grade DE,Wales,Census 2021 - SG002EW,Office for National Statistics,https://www.nomisweb.co.uk/datasets/c2021sg002,17th August 2023,21st March 2021,14th February 2024,"This data is taken from a table showing approximated social grades. The proportion is calculated by dividing the numbers in social grade DE by the total population."
Proportion of 16+ population with no qualifications,England,Census 2021 - TS067,Office for National Statistics,https://www.nomisweb.co.uk/datasets/c2021ts067,17th August 2023,21st March 2021,15th February 2024,"The dataset provides a total and percentage directly."
Proportion of 16+ population with no qualifications,Wales,Census 2021 - TS067,Office for National Statistics,https://www.nomisweb.co.uk/datasets/c2021ts067,17th August 2023,21st March 2021,15th February 2024,"The dataset provides a total and percentage directly."
