Indicator,Dataset source,Date of data,Release date,Organisation,Source URL
Proportion of population aged 65 and over,Mid-Year Population Estimates - Lower layer Super Output Area population estimates,2019,9th September 2020,Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimates
Proportion of population aged 75 and over,Mid-Year Population Estimates - Lower layer Super Output Area population estimates,2019,9th September 2020,Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimates
Proportion of homes unable to receive at least 10MBit/s,Connected Nations 2020 - Fixed output area data,2020,10th September 2020,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-summer-2020
Proportion of premises unable to receive at least 30MBit/s,Connected Nations 2020 - Fixed output area data,2020,10th September 2020,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-summer-2020
Average download speed,,,,,
